,MODEL,RMB,BUY USD,SELL USD,TRANS,BEN,TOTAL,MARGE
,Iphone 16 Pro Max  - 256GB,7250,1012.57,1115.384615,20,80,1215,182.81
,Iphone 16 Pro   - 256GB,6200,865.92,953.8461538,20,50,1024,137.92
,Iphone 16 Pro- 128GB,5900,824.02,907.6923077,20,80,1008,163.67
,Iphone 16 Plus-256GB,5200,726.26,800,20,80,900,153.74
,Iphone 16 Plus-128GB,4850,677.37,746.1538462,20,80,846,148.78
,Iphone 16 -256GB,4800,670.39,738.4615385,20,80,838,148.07
,Iphone 16 -128GB,4400,614.53,676.9230769,20,80,777,142.40
,Iphone 15 Pro Max - 512GB,5750,803.07,884.6153846,20,80,985,161.54
,Iphone 15 Pro Max - 256GB,5500,768.16,846.1538462,20,80,946,158.00
,Iphone Pro 15 - 512GB,5000,698.32,769.2307692,20,80,869,150.91
,Iphon 15 Pro -256GB,4900,684.36,753.8461538,20,80,854,149.49
,Iphone Pro 15 - 128GB,4500,628.49,692.3076923,20,80,792,143.82
,Iphone 15 Plus -256GB,4150,579.61,638.4615385,20,80,738,138.85
,Iphone 15 Plus -128GB,3800,530.73,584.6153846,20,80,685,133.89
,Iphone 15 -256GB,3950,551.68,607.6923077,20,80,708,136.02
,Iphone 15 -126GB,3750,523.74,576.9230769,20,80,677,133.18
,Iphone Pro Max 14 - 256GB,4450,621.51,684.6153846,20,80,785,143.11
,Iphone 14 - 256GB - Dual,2700,377.09,415.3846154,20,60,495,98.29
,Iphone Pro 14 - 256GB - Dual,3700,516.76,569.2307692,30,60,659,112.47
,Iphone Pro Max 14 - 128GB,4150,579.61,638.4615385,20,80,738,138.85
,Iphone 14Pro - 256 GB,3680,513.97,566.1538462,20,80,666,132.19
,Iphone 14 Pro - 128 GB,3580,500.00,550.7692308,20,80,651,130.77
,      Phone Pro 13 Max - 256GB,3450,481.84,530.7692308,20,80,631,128.93
,       Iphon Pro 13 Max -128GB,3200,446.93,492.3076923,20,80,592,125.38
,      Iphone 13 Pro  - 256GB,2900,405.03,446.1538462,20,80,546,121.13
,       Iphone 13 Pro  - 128GB,2700,377.09,415.3846154,20,80,515,118.29
,        Iphone 13 - 256GB,2300,321.23,353.8461538,20,80,454,112.62
,        Iphone 13 - 128GB,2100,293.30,323.0769231,20,80,423,109.78
,      Iphone 12 Pro Max -256GB,2650,370.11,407.6923077,20,80,508,117.58
,      Iphone 12 Pro Max - 128GB,2450,342.18,376.9230769,20,80,477,114.74
,      Iphone 12 Pro -256GB,2150,300.28,330.7692308,20,80,431,110.49
,Iphone 12 Pro -128GB,2000,279.33,307.6923077,20,80,408,108.36
,Iphone 12  -256GB,1950,272.35,300,20,80,400,107.65
,Iphone 12  -128GB,1700,237.43,261.5384615,20,80,362,104.11
,Iphone 11 Pro Max -256GB,2000,279.33,307.6923077,20,80,408,108.36
,Iphone 11 Pro  -256GB,1750,244.41,269.2307692,20,80,369,104.82
,Iphone 11 - 128 GB ,1370,191.34,210.7692308,20,80,311,99.43
,Iphone XS Mx  - 256GB,1260,175.98,193.8461538,20,80,294,97.87
,Iphone XR  -128GG,1080,150.84,166.1538462,20,80,266,95.32
,Iphone XR Mx  - 64GB,990,138.27,152.3076923,20,80,252,94.04
