model,price
Iphone 16 Pro Max  - 256GB,1215
Iphone 16 Pro   - 256GB,1024
Iphone 16 Pro- 128GB,1008
Iphone 16 Plus-256GB,900
Iphone 16 Plus-128GB,846
Iphone 16 -256GB,838
Iphone 16 -128GB,777
Iphone 15 Pro Max - 512GB,985
Iphone 15 Pro Max - 256GB,946
Iphone Pro 15 - 512GB,869
Iphon 15 Pro -256GB,854
Iphone Pro 15 - 128GB,792
Iphone 15 Plus -256GB,738
Iphone 15 Plus -128GB,685
Iphone 15 -256GB,708
Iphone 15 -126GB,677
Iphone Pro Max 14 - 256GB,785
Iphone 14 - 256GB - Dual,495
Iphone Pro 14 - 256GB - Dual,659
Iphone Pro Max 14 - 128GB,738
Iphone 14Pro - 256 GB,666
Iphone 14 Pro - 128 GB,651
Phone Pro 13 Max - 256GB,631
Iphon Pro 13 Max -128GB,592
Iphone 13 Pro  - 256GB,546
Iphone 13 Pro  - 128GB,515
Iphone 13 - 256GB,454
Iphone 13 - 128GB,423
Iphone 12 Pro Max -256GB,508
Iphone 12 Pro Max - 128GB,477
Iphone 12 Pro -256GB,431
Iphone 12 Pro -128GB,408
Iphone 12  -256GB,400
Iphone 12  -128GB,362
Iphone 11 Pro Max -256GB,408
Iphone 11 Pro  -256GB,369
Iphone 11 - 128 GB,311
Iphone XS Mx  - 256GB,294
Iphone XR  -128GG,266
Iphone XR Mx  - 64GB,252
