title,model,price,brand,image_url
Samsung Flip 3 -128GB,Samsung Flip 3 -128GB,282,Samsung,/assets/samsung-galaxy-z-flip4-5g-1.jpg
Samsung Flip 3 -256GB,Samsung Flip 3 -256GB,290,Samsung,/assets/samsung-galaxy-z-flip4-5g-1.jpg
Samsung Flip 4 -128GB,Samsung Flip 4 -128GB,342,Samsung,/assets/samsung-galaxy-z-flip4-5g-1.jpg
Samsung Flip 4 - 256GB,Samsung Flip 4 - 256GB,368,Samsung,/assets/samsung-galaxy-z-flip4-5g-1.jpg
Samsung Fold 3 - 256GB,Samsung Fold 3 - 256GB,502,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
Samsung Fold 3 - 512GB,Samsung Fold 3 - 512GB,518,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
Samsung Fold 4 - 256GB,Samsung Fold 4 - 256GB,572,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
Samsung Fold 4 - 512GB,Samsung Fold 4 - 512GB,595,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
Samsung Fold 5 - 256GB,Samsung Fold 5 - 256GB,802,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
Samsung Fold 5 - 512GB,Samsung Fold 5 - 512GB,818,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
Samsung Fold 6 - 256GB,Samsung Fold 6 - 256GB,1110,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
Samsung Fold 6 - 512GB,Samsung Fold 6 - 512GB,1202,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
Samsung Flip 6 - 256GB,Samsung Flip 6 - 256GB,572,Samsung,/assets/samsung-galaxy-z-flip4-5g-1.jpg
S20,S20,231,Samsung,/assets/samsung-galaxy-s20-1.jpg
S21,S21,295,Samsung,/assets/samsung-galaxy-s21-fe-5g-1.jpg
S21Ultra,S21Ultra,372,Samsung,/assets/samsung-galaxy-s21-ultra-5g-1.jpg
S21Plus,S21Plus,310,Samsung,/assets/samsung-galaxy-s21-plus-5g-1.jpg
S22Ultra-128GB,S22Ultra-128GB,464,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
S22Ultra-256GB,S22Ultra-256GB,492,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
S22Ultra-512GB,S22Ultra-512GB,510,Samsung,/assets/samsung-galaxy-s22-ultra-5g-2.jpg
23Ultra-256GB,23Ultra-256GB,633,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S23Ultra-512,S23Ultra-512,648,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S24Ultra - 256 ,S24Ultra - 256 ,772,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S24Ultra-512,S24Ultra-512,656,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S24Ultra - 2Sim - 256 ,S24Ultra - 2Sim - 256 ,848,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S24Ultra - 2Sim -512,S24Ultra - 2Sim -512,925,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S25Ultra-256GB,S25Ultra-256GB,1079,Samsung,/assets/samsung-galaxy-s23-ultra-5g-1.jpg
S9-64GB,S9-64GB,222,Samsung,/assets/samsung-galaxy-s9-2.jpg
S9Plus-64GB,S9Plus-64GB,232,Samsung,/assets/samsung-galaxy-s9-plus-1.jpg
S10-128GB,S10-128GB,264,Samsung,/assets/samsung-galaxy-s10-1.jpg
S10Plus-128GB,S10Plus-128GB,295,Samsung,/assets/samsung-galaxy-s10-plus-1.jpg
Note20,Note20,295,Samsung,/assets/samsung-galaxy-note20-1.jpg
Note20Ultra -256GB,Note20Ultra -256GB,372,Samsung,/assets/samsung-galaxy-note20-ultra-1.jpg
Note8-64GB,Note8-64GB,224,Samsung,/assets/samsung-galaxy-note9-1.jpg
Note9-64GB,Note9-64GB,242,Samsung,/assets/samsung-galaxy-note9-1.jpg
Note10-256GB,Note10-256GB,279,Samsung,/assets/samsung-galaxy-note20-1.jpg
Note10Plus-256GB,Note10Plus-256GB,325,Samsung,/assets/samsung-galaxy-note20-ultra-1.jpg
